id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-02146,Employer Career Page,company,Beiersdorf,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.beiersdorf.com/career,"Consumer health and beauty, digital, data and supply chain"
company-02147,Employer Career Page,company,Coca-Cola HBC,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.coca-colahellenic.com/,"Beverages, supply chain, technology, data and manufacturing"
company-02148,Employer Career Page,company,Colgate-Palmolive,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://jobs.colgate.com/,"Consumer goods, supply chain, manufacturing, digital and data"
company-02149,Employer Career Page,company,Danone,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.danone.com/,"Food and nutrition, supply chain, digital and manufacturing"
company-02150,Employer Career Page,company,General Mills,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,GCC · Africa · Global,GCC · Africa · Global,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.generalmills.com/,"Food, supply chain, manufacturing, digital and data"
company-02151,Employer Career Page,company,HEINEKEN,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.theheinekencompany.com/,"Beverages, supply chain, manufacturing, digital and data"
company-02164,Employer Career Page,company,Henkel,FMCG & Industrial,FMCG & Industrial,FMCG & Industrial,FMCG & Industrial,FMCG & Industrial,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.henkel.com/careers,"Consumer brands, adhesives, supply chain, digital and manufacturing"
company-02152,Employer Career Page,company,JDE Peet's,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.jdepeets.com/,"Coffee, supply chain, manufacturing, digital and data"
company-02153,Employer Career Page,company,Kimberly-Clark,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.kimberly-clark.com/,"Consumer goods, supply chain, digital, data and manufacturing"
company-02154,Employer Career Page,company,Kraft Heinz,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,FMCG & Consumer,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.kraftheinz.com/,"Food, supply chain, manufacturing, digital and data"
