id,title,organization,location,country,region,work_model,category,posted_text,availability_status,match_score,fit_tier,priority_tier,url,fit_reason,eligibility_note,source_page
job-r4a-001,Head of Digital Transformation & AI,IT / Telecommunication Services Company,Worldwide,Global,Remote / Global,100% Remote · Full time,job,2 June 2026,Possibly Available,99,Best Fit,Priority 1,https://remote4africa.com/jobs/head-of-digital-transformation-ai-remote,"Closest match to your CTO and digital-transformation leadership background, including enterprise platforms, AI-enabled transformation, CRM and program governance.",Global listing. Confirm that Egypt is accepted and review the full requirements after signing in.,Direct Remote4Africa vacancy page
job-r4a-002,Senior Enterprise Architect (Banking or FinTech Experience),IT / Telecommunication Services Company,Egypt · Hybrid,Egypt,Egypt,Hybrid · Full time,job,8 May 2026,Possibly Available,98,Best Fit,Priority 1,https://remote4africa.com/jobs/senior-enterprise-architect-banking-or-fintech-experience,"Direct enterprise-architecture leadership match involving stakeholder engagement, target solutions and architecture governance.",Egypt-based role. Banking or FinTech experience may be a screening requirement.,Direct Remote4Africa vacancy page
job-r4a-003,Project Manager – Dynamics 365 CRM & Power Platform,IT Services and IT Consulting Company,Anywhere in the World,Global,Remote / Global,100% Remote · Full time,job,13 June 2026,Live Search,97,Best Fit,Priority 1,https://remote4africa.com/jobs/search?q=project+manager,"Excellent match with your Dynamics 365 integration, enterprise applications, stakeholder management and complex project-delivery experience.",Visible in the current Remote4Africa project-manager search. Open the search and select the role.,Remote4Africa live search
job-r4a-004,Senior Manager - Technical Program Management,Internet Software & Services Company,Anywhere in the World,Global,Remote / Global,100% Remote · Full time,job,12 June 2026,Live Search,96,Best Fit,Priority 1,https://remote4africa.com/remote-jobs/mu?page=10,"Strong alignment with national-scale program governance, multidisciplinary technical-team leadership, dependencies, risk and executive reporting.",Publicly listed in Remote4Africa regional results. Confirm the employer and complete requirements on the platform.,Remote4Africa regional search
job-r4a-005,"Senior Project Manager, Streaming Intelligence & Data Platform",Software Development Company,Anywhere in the World,Global,Remote / Global,100% Remote · Full time,job,31 May 2026,Live Search,96,Best Fit,Priority 1,https://remote4africa.com/jobs/search?q=project+manager,"High match with data platforms, national data-warehouse delivery, reporting architecture and cross-functional project governance.",Visible in current project-management and technology search results.,Remote4Africa live search
job-r4a-006,Senior Product Manager – Cloud Infrastructure & Platform,Internet Software & Services Company,Anywhere in the World,Global,Remote / Global,100% Remote · Full time,job,16 June 2026,Live Search,95,Best Fit,Priority 1,https://remote4africa.com/jobs/search?q=product+manager,"Strong platform-strategy and cloud-infrastructure fit, especially for private cloud, developer experience, reliability and enterprise operations.",Product-management depth is important; position your enterprise-platform ownership and architecture-roadmap experience.,Remote4Africa live search
job-r4a-007,Digital Health Senior Associate,Business Consulting and Services Company,South Africa / Kenya,South Africa / Kenya,Africa,100% Remote · Full time,job,22 July 2026,Live Search,94,Strong Fit,Priority 2,https://remote4africa.com/jobs/search?q=Health,"Excellent sector alignment with digital health, health systems, data, transformation advisory and public-sector stakeholder engagement.",The public result specifies South Africa or Kenya. Confirm whether applicants based in Egypt are eligible.,Remote4Africa health search
job-r4a-008,Technical Project Manager (IT & Infrastructure),Human Resource Services Company,South Africa,South Africa,Southern Africa,100% Remote · Full time,job,3 June 2026,Possibly Available,93,Strong Fit,Priority 2,https://remote4africa.com/jobs/technical-project-manager-it-infrastructure-5,"Strong match with infrastructure, security, internal systems, production support, reliability, change controls and project leadership.",The listing is restricted to South Africa in the public result.,Direct Remote4Africa vacancy page
job-r4a-010,Lead Solution Architect,Financial Services / FinTech Company,South Africa · Hybrid,South Africa,Southern Africa,Hybrid · Full time,job,20 March 2026,Possibly Available,92,Strong Fit,Priority 2,https://remote4africa.com/jobs/lead-solution-architect,"Strong senior architecture fit covering enterprise solutions, stakeholder leadership and transformation within a regulated environment.",South Africa-based hybrid role; verify residency or work-authorisation requirements.,Direct Remote4Africa vacancy page
job-r4a-009,"Managing Consultant - Process, Service & Digital Transformation",Business Consulting and Services Company,Nigeria · Hybrid,Nigeria,West Africa,Hybrid · Full time,job,25 April 2026,Possibly Available,92,Strong Fit,Priority 2,https://remote4africa.com/jobs/managing-consultant-process-service-digital-transformation,"Strong match with transformation strategy, operating models, process modernization, governance and senior advisory work.",Nigeria-based hybrid listing. Confirm location flexibility.,Direct Remote4Africa vacancy page
job-r4a-012,Specialist Solution Architect,Financial Services / FinTech Company,South Africa · Hybrid,South Africa,Southern Africa,Hybrid · Full time,job,1 May 2026,Possibly Available,91,Strong Fit,Priority 2,https://remote4africa.com/jobs/specialist-solution-architect,"Good match for solution design, integration, architecture governance and senior stakeholder engagement.",South Africa-based role. Sector knowledge and local eligibility may be required.,Direct Remote4Africa vacancy page
job-r4a-011,Technical Project Manager,Business Consulting and Services Company,Anywhere in Africa / Worldwide,Global,Remote / Global,100% Remote · Full time,job,24 May 2026,Possibly Available,91,Strong Fit,Priority 2,https://remote4africa.com/jobs/technical-project-manager-18,"Relevant technical-delivery role coordinating development, QA, integration teams, stakeholders and release planning.",Public page indicates a global remote region. Confirm seniority and domain fit.,Direct Remote4Africa vacancy page
job-r4a-013,Project Operations Manager,IT / Telecommunication Services Company,"Cairo, Egypt",Egypt,Egypt,Remote / Full time,job,9 May 2026,Possibly Available,90,Strong Fit,Priority 2,https://remote4africa.com/jobs/project-operations-manager-2,"Strong local match for project coordination, operational governance, portfolio visibility and stakeholder alignment.",Cairo-based listing. Confirm whether the seniority and compensation match your level.,Direct Remote4Africa vacancy page
job-r4a-014,Chief Information Security Officer,Financial Services / FinTech Company,"Kampala, Uganda · Hybrid",Uganda,East Africa,Hybrid · Full time,job,24 July 2026,Live Search,89,Strong Fit,Priority 2,https://remote4africa.com/jobs,"Relevant executive governance, risk, infrastructure, access-control and security-program leadership, although it may require deeper dedicated CISO experience.",Kampala hybrid role. Confirm relocation and specialised security-certification requirements.,Remote4Africa latest jobs
job-r4a-015,Director of Security Operations,Financial Services / FinTech Company,Africa,Africa,Remote / Africa,100% Remote · Full time,job,16 June 2026,Live Search,88,Strong Fit,Priority 2,https://remote4africa.com/remote-jobs/sl?page=2,"Senior technology-operations and governance relevance, with a strong focus on cyber defence and security operations.",A specialised security-operations track may be required; review before prioritising.,Remote4Africa regional search
job-r4a-016,Lead Architect-Software Engineer,IT Services and IT Consulting Company,Anywhere in the World,Global,Remote / Global,100% Remote · Full time,job,13 June 2026,Live Search,88,Strong Fit,Priority 2,https://remote4africa.com/jobs/region/ghana?page=10,"Relevant architecture and software-engineering leadership role matching your full-stack, enterprise architecture and team-lead background.",Confirm the hands-on coding expectations relative to your current executive seniority.,Remote4Africa regional search
