id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-02108,Employer Career Page,company,Al-Futtaim Automotive,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Egypt · GCC,Egypt · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.alfuttaim.com/careers/,"Automotive, retail, technology, logistics and corporate functions"
company-02109,Employer Career Page,company,BMW Group,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.bmwgroup.jobs/en.html,"Automotive, mobility, software, digital transformation and corporate functions"
company-02110,Employer Career Page,company,Bridgestone,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.bridgestone.com/,"Mobility, manufacturing, sales and supply chain"
company-01490,Employer Career Page,company,Careem,Technology & Mobility,Technology & Mobility,E-commerce & Mobility,E-commerce & Mobility,E-commerce & Mobility,Egypt · GCC,Egypt · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.careem.com/en-AE/careers,"Mobility, delivery, fintech, product and technology"
company-01757,Employer Career Page,company,Careem,Employer career search,Employer career search,E-commerce & Mobility,E-commerce & Mobility,E-commerce & Mobility,Egypt · GCC,Egypt · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://www.careem.com/en-AE/careers,"Mobility, delivery, fintech, product and technology"
company-02111,Employer Career Page,company,Continental,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://jobs.continental.com/,"Automotive, software, manufacturing, data and engineering"
company-02112,Employer Career Page,company,Ford Motor Company,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://corporate.ford.com/careers.html,"Automotive, manufacturing, digital, data and mobility"
company-01404,Employer Career Page,company,GB Corp,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://gb-corporation.com/careers/,"Automotive, mobility, finance, manufacturing and distribution"
company-01856,Employer Career Page,company,GB Corp,Employer career search,Employer career search,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://gb-corporation.com/careers/,"Automotive, mobility, finance, manufacturing and distribution"
company-02113,Employer Career Page,company,GB Corp,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Egypt · Africa,Egypt · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://gb-corporation.com/careers/,"Automotive, mobility, finance, manufacturing and distribution"
company-02114,Employer Career Page,company,General Motors,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Automotive & Mobility,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://search-careers.gm.com/,"Automotive, manufacturing, software, data and supply chain"
