id,title,company,brand,sector,location,country,source,posted,deadline,status,fit,summary,url
lifestyle-001,Systems Support Engineer - Regional IT,Alshaya Group,Regional IT,Retail Technology,Egypt,Egypt,Official Careers,Current official listing,31 July 2026,Available,94,Regional IT support role within a major international retail and franchise group.,https://jobsearch.alshaya.com/cau/en/careers.alshaya.com
lifestyle-002,Sales Associate,Alshaya Group,Bath & Body Works,Beauty Retail,Egypt,Egypt,Official Careers,Current official listing,31 July 2026,Available,72,Customer-facing retail role for a major international beauty and personal-care brand.,https://jobsearch.alshaya.com/cau/en/careers.alshaya.com
lifestyle-003,Call Centre Agent - Strategy & Digital,Alshaya Group,Contact Center,Customer Experience,Egypt,Egypt,Official Careers,Current official listing,31 July 2026,Available,78,Customer-contact role supporting digital and retail operations in Egypt.,https://jobsearch.alshaya.com/cau/en/careers.alshaya.com
lifestyle-004,IT Support Engineer - Workplace Technology,Chalhoub Group,Group Technology,Retail Technology,"Cairo, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,94,"Technology support role within a major luxury retail, beauty and distribution group.",https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-005,Brand Manager - Beauty,Chalhoub Group,Beauty Portfolio,Beauty Management,"Cairo, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,78,Brand leadership role within Chalhoub Group's beauty retail and distribution portfolio.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-006,E-Commerce Associate,Chalhoub Group,E-Commerce,Digital Commerce,"Cairo, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,82,Digital-commerce role supporting luxury and beauty brands in Egypt.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-007,MAC Store Manager,Chalhoub Group,MAC Cosmetics,Beauty Retail,"Multiple locations, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,76,"Store-management opportunity combining beauty retail, team leadership and sales performance.",https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-008,Retail Makeup Artist,Chalhoub Group,MAC Cosmetics,Beauty Retail,"Multiple locations, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,65,Professional makeup and customer-experience role for MAC Cosmetics.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-009,Beauty Consultant,Chalhoub Group,Faces,Beauty Retail,"Multiple locations, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,67,"Beauty advisory, sales and customer-service role across Faces locations.",https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-010,Beauty Consultant,Chalhoub Group,Yves Rocher,Beauty Retail,"Multiple locations, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,66,Beauty-product consultation and customer-service role for Yves Rocher.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-011,Fashion Consultant,Chalhoub Group,Luxury Fashion,Fashion Retail,"Cairo, Egypt",Egypt,Official Careers,Current Egypt opening,,Available,68,Luxury fashion sales and client-experience role in Cairo.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-012,Merchandise Planner - Cairo Duty Free,Chalhoub Group,Cairo Duty Free,Retail Planning,"Cairo, Egypt · Hybrid",Egypt,Official Careers,Current Egypt opening,,Available,84,Merchandise and supply-planning opportunity supporting airport retail operations.,https://careers.chalhoubgroup.com/jobs?country=Egypt&query=
lifestyle-013,Attendant - Spa,St. Regis Hotels & Resorts,St. Regis Cairo,Spa & Wellness,"Cairo, Egypt",Egypt,LinkedIn / Marriott,Posted about 1 day ago,,Recently posted,61,"Full-time spa-attendant role supporting guest orientation, treatment areas and daily spa operations.",https://eg.linkedin.com/jobs/view/attendant-spa-at-st-regis-hotels-resorts-4442016149
lifestyle-014,Full-Time Massage Therapist - Hospital / Medical Clinic,Spa Staff.com,Healthcare / Wellness Center,Massage & Therapy,"Heliopolis, Cairo, Egypt",Egypt,LinkedIn,Listed about 4 months ago,,Recheck availability,58,Massage-therapy role requiring professional certification and previous spa or therapy experience.,https://eg.linkedin.com/jobs/view/full-time-massage-therapist-for-a-hospital-medical-clinic-in-egypt-at-spa-staff-com-4386594179
lifestyle-015,Full-Time Massage Therapist - Day Spa,Spa Staff.com,Day Spa,Massage & Therapy,"Cairo, Egypt",Egypt,LinkedIn,Listed about 4 months ago,,Recheck availability,56,Day-spa massage-therapist opportunity in Cairo; experience requirements apply.,https://eg.linkedin.com/jobs/view/full-time-massage-therapist-for-a-day-spa-in-egypt-at-spa-staff-com-4386014244
lifestyle-016,ER Head Nurse,Saudi German Hospital,Saudi German Hospital Cairo,Healthcare,"Cairo, Egypt",Egypt,Employer LinkedIn,Posted about 1 week ago,,Recently posted,52,"Emergency-department nursing leadership role requiring nursing qualifications, BLS/ACLS and management experience.",https://eg.linkedin.com/company/saudi-german-hospital-careers
lifestyle-017,Hairdresser / Stylist,Mohamed Al Sagheer,Al Sagheer Salons,Hair & Beauty,Egypt,Egypt,Official Careers,Current careers page,,Recheck exact branch,55,Hair-styling opportunity within one of Egypt's large salon chains.,https://www.mohamedalsagheer.com/careers
lifestyle-018,Shampoo Assistant,Mohamed Al Sagheer,Al Sagheer Salons,Hair & Beauty,Egypt,Egypt,Official Careers,Current careers page,,Recheck exact branch,50,Salon-support role listed through Mohamed Al Sagheer's careers channel.,https://www.mohamedalsagheer.com/careers
