id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
company-02210,Employer Career Page,company,A.P. Moller - Maersk,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.maersk.com/careers/,"Integrated logistics, shipping, ports, technology, data and supply-chain transformation"
company-02183,Employer Career Page,company,ABB,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Industrial Technology,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://careers.abb/global/en,"Electrification, automation, digital, data and industrial technology"
company-00713,Employer Career Page,company,AbbVie,Global Pharmaceuticals,Global Pharmaceuticals,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://careers.abbvie.com/,"Biopharma, digital, data, medical and commercial operations"
company-01010,Employer Career Page,company,AbbVie,Health-sector employer search,Health-sector employer search,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Pharmaceuticals & Life Sciences,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,75,Medium,Priority 1,https://careers.abbvie.com/,"Biopharma, digital, data, medical and commercial operations"
company-01450,Employer Career Page,company,ACWA Power,Energy & Utilities,Energy & Utilities,Energy & Infrastructure,Energy & Infrastructure,Energy & Infrastructure,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://careers.acwapower.com/,"Power, water, renewables, digital and project delivery"
company-01812,Employer Career Page,company,ACWA Power,Employer career search,Employer career search,Energy & Infrastructure,Energy & Infrastructure,Energy & Infrastructure,Egypt · GCC · Africa,Egypt · GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://careers.acwapower.com/,"Power, water, renewables, digital and project delivery"
company-02211,Employer Career Page,company,AD Ports Group,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,Supply Chain & Logistics,GCC · Africa,GCC · Africa,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,82,High,Priority 1,https://www.adportsgroup.com/en/careers,"Ports, maritime, logistics, economic cities and digital trade"
company-01465,Employer Career Page,company,ADNOC,Energy,Energy,Energy & Infrastructure,Energy & Infrastructure,Energy & Infrastructure,UAE · GCC,UAE · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://jobs.adnoc.ae/,"Energy, digital, data, supply chain and major projects"
company-01822,Employer Career Page,company,ADNOC,Employer career search,Employer career search,Energy & Infrastructure,Energy & Infrastructure,Energy & Infrastructure,UAE · GCC,UAE · GCC,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,61,Medium,Priority 1,https://jobs.adnoc.ae/,"Energy, digital, data, supply chain and major projects"
company-00380,Employer Career Page,organization,Aga Khan Health Services,Career and project search,Career and project search,Healthcare Provider,Healthcare Provider,Healthcare Provider,Africa · Global,Africa · Global,,Career Page Available,,,2026-07-24,,Official employer careers,A,Official employer career page,Official / curated,20,Low,Priority 1,https://www.aku.edu/careers/Pages/home.aspx,"Hospitals, health systems, data, education and development"
