id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
agency-00001,Recruitment Agency,agency,Adecco,Staffing & Recruitment,Staffing & Recruitment,Specialist Recruitment,Specialist Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.adecco.com/,"General staffing, professional recruitment"
agency-00002,Recruitment Agency,agency,ManpowerGroup,Staffing & Recruitment,Staffing & Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.manpowergroup.com/,"Technology, professional and workforce solutions"
agency-00003,Recruitment Agency,agency,Randstad,Staffing & Recruitment,Staffing & Recruitment,HR & Talent Advisory,HR & Talent Advisory,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.randstad.com/,Professional staffing and talent solutions
agency-00004,Recruitment Agency,agency,Hays,Specialist Recruitment,Specialist Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.hays.com/,"Technology, finance, engineering and leadership"
agency-00005,Recruitment Agency,agency,Michael Page,Specialist Recruitment,Specialist Recruitment,Specialist Recruitment,Specialist Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.michaelpage.com/,Professional and management recruitment
agency-00006,Recruitment Agency,agency,Page Executive,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.pageexecutive.com/,Senior leadership and executive search
agency-00007,Recruitment Agency,agency,Robert Walters,Specialist Recruitment,Specialist Recruitment,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.robertwalters.com/,Professional and executive recruitment
agency-00008,Recruitment Agency,agency,Robert Half,Specialist Recruitment,Specialist Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.roberthalf.com/,"Technology, finance, legal and administration"
agency-00009,Recruitment Agency,agency,Korn Ferry,Executive Search & Advisory,Executive Search & Advisory,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.kornferry.com/,Executive search and organizational consulting
agency-00010,Recruitment Agency,agency,Spencer Stuart,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.spencerstuart.com/,Board and C-suite search
agency-00011,Recruitment Agency,agency,Heidrick & Struggles,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.heidrick.com/,Executive and leadership advisory
agency-00012,Recruitment Agency,agency,Russell Reynolds Associates,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.russellreynolds.com/,Board and executive leadership
agency-00013,Recruitment Agency,agency,Egon Zehnder,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.egonzehnder.com/,Executive search and leadership advisory
agency-00014,Recruitment Agency,agency,Boyden,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.boyden.com/,Executive search and interim management
agency-00015,Recruitment Agency,agency,Odgers Berndtson,Executive Search,Executive Search,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.odgersberndtson.com/,Executive recruitment and leadership services
agency-00016,Recruitment Agency,agency,Kelly,Staffing & Recruitment,Staffing & Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.kellyservices.com/,"Science, engineering, technology and professional staffing"
agency-00017,Recruitment Agency,agency,Allegis Group,Talent Solutions,Talent Solutions,Staffing & Outsourcing,Staffing & Outsourcing,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.allegisgroup.com/,"Staffing, consulting and workforce solutions"
agency-00018,Recruitment Agency,agency,TEKsystems,Technology Recruitment,Technology Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.teksystems.com/,"IT staffing, services and transformation talent"
agency-00019,Recruitment Agency,agency,Aerotek,Staffing & Recruitment,Staffing & Recruitment,General Recruitment Agency,General Recruitment Agency,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.aerotek.com/,"Engineering, manufacturing and operations staffing"
agency-00020,Recruitment Agency,agency,Aston Carter,Professional Staffing,Professional Staffing,RPO & Talent Acquisition,RPO & Talent Acquisition,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.astoncarter.com/,"Business, finance, operations and corporate talent"
agency-00021,Recruitment Agency,agency,SThree,Specialist Recruitment,Specialist Recruitment,Specialist Recruitment,Specialist Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.sthree.com/,STEM recruitment and consulting
agency-00022,Recruitment Agency,agency,Computer Futures,Technology Recruitment,Technology Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,55,Low,,https://www.computerfutures.com/,"IT, software, cloud and data roles"
agency-00023,Recruitment Agency,agency,Progressive Recruitment,Specialist Recruitment,Specialist Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.progressiverecruitment.com/,"Engineering, energy and technology"
agency-00024,Recruitment Agency,agency,Huxley,Specialist Recruitment,Specialist Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,55,Low,,https://www.huxley.com/,"Banking, technology and data"
agency-00025,Recruitment Agency,agency,Real Staffing,Life Sciences Recruitment,Life Sciences Recruitment,Healthcare & Life Sciences Recruitment,Healthcare & Life Sciences Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,53,Low,,https://www.realstaffing.com/,"Pharma, biotech and healthcare"
agency-00026,Recruitment Agency,agency,Harvey Nash,Technology Recruitment,Technology Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,57,Low,,https://www.harveynash.com/,"Technology leadership, digital and IT staffing"
agency-00027,Recruitment Agency,agency,Nash Squared,Technology Talent Solutions,Technology Talent Solutions,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.nashsquared.com/,Technology recruitment and solutions
agency-00028,Recruitment Agency,agency,Akkodis,Technology Talent Solutions,Technology Talent Solutions,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.akkodis.com/,"Digital engineering, IT and technology consulting"
agency-00029,Recruitment Agency,agency,Experis,Technology Recruitment,Technology Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.experis.com/,IT professional resourcing and project services
agency-00030,Recruitment Agency,agency,Gi Group Holding,Staffing & Recruitment,Staffing & Recruitment,HR & Talent Advisory,HR & Talent Advisory,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.gigroupholding.com/,"Staffing, search and HR services"
agency-00031,Recruitment Agency,agency,RGF Professional Recruitment,Specialist Recruitment,Specialist Recruitment,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.rgf-professional.com/,Professional and executive recruitment
agency-00032,Recruitment Agency,agency,JAC Recruitment,Specialist Recruitment,Specialist Recruitment,Overseas Recruitment,Overseas Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,20,Low,,https://www.jac-recruitment.com/,Professional and international recruitment
agency-00033,Recruitment Agency,agency,PERSOLKELLY,Staffing & Recruitment,Staffing & Recruitment,Specialist Recruitment,Specialist Recruitment,,Asia / APAC,Asia Pacific,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,48,Low,,https://www.persolkelly.com/,Professional staffing across APAC
agency-00034,Recruitment Agency,agency,Morgan McKinley,Specialist Recruitment,Specialist Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.morganmckinley.com/,"Technology, finance and professional recruitment"
agency-00035,Recruitment Agency,agency,Hudson,Talent Solutions,Talent Solutions,HR & Talent Advisory,HR & Talent Advisory,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.hudson.com/,Recruitment and talent management
agency-00036,Recruitment Agency,agency,Antal International,Executive Recruitment,Executive Recruitment,Executive Search,Executive Search,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,20,Low,,https://www.antal.com/,Professional and executive recruitment
agency-00037,Recruitment Agency,agency,NES Fircroft,Technical Recruitment,Technical Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.nesfircroft.com/,"Energy, engineering and infrastructure"
agency-00038,Recruitment Agency,agency,Airswift,Technical Recruitment,Technical Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.airswift.com/,"Energy, process and infrastructure staffing"
agency-00039,Recruitment Agency,agency,Brunel,Technical Recruitment,Technical Recruitment,Technology Recruitment,Technology Recruitment,,Global,Global,,Active Agency,,,2026-07-20,,,B,Direct organization or specialist source,Direct,52,Low,,https://www.brunel.net/,"Engineering, energy and life sciences"
