"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"249","Chief Information Officer","LinkedIn","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using LinkedIn.","Generated search matrix","https://www.linkedin.com/jobs/search/?keywords=Chief%20Information%20Officer&location=South%20Africa&sortBy=DD"
"250","Chief Information Officer","Indeed","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Indeed.","Generated search matrix","https://www.indeed.com/jobs?q=Chief%20Information%20Officer&l=South%20Africa&sort=date"
"251","Chief Information Officer","Glassdoor","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Glassdoor.","Generated search matrix","https://www.google.com/search?q=site%3Aglassdoor.com%2FJob%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"252","Chief Information Officer","Bayt","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Bayt.","Generated search matrix","https://www.bayt.com/en/international/jobs/chief-information-officer-jobs/"
"253","Chief Information Officer","GulfTalent","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using GulfTalent.","Generated search matrix","https://www.google.com/search?q=site%3Agulftalent.com%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"254","Chief Information Officer","Naukrigulf","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Naukrigulf.","Generated search matrix","https://www.google.com/search?q=site%3Anaukrigulf.com%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"255","Chief Information Officer","Careerjet","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Careerjet.","Generated search matrix","https://www.careerjet.com/search/jobs?s=Chief%20Information%20Officer&l=South%20Africa"
"256","Chief Information Officer","Jooble","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Jooble.","Generated search matrix","https://jooble.org/SearchResult?rgns=South%20Africa&ukw=Chief%20Information%20Officer"
"257","Chief Information Officer","Jobberman","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Jobberman.","Generated search matrix","https://www.google.com/search?q=site%3Ajobberman.com%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"258","Chief Information Officer","BrighterMonday","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using BrighterMonday.","Generated search matrix","https://www.google.com/search?q=site%3Abrightermonday.co.ke%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"259","Chief Information Officer","Devex","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using Devex.","Generated search matrix","https://www.google.com/search?q=site%3Adevex.com%2Fjobs%20%22Chief%20Information%20Officer%22%20%22South%20Africa%22%20jobs"
"260","Chief Information Officer","ReliefWeb","Live Platform Search","South Africa","South Africa","","Medium","Monitoring","","2026-07-20","Live search for Chief Information Officer in South Africa using ReliefWeb.","Generated search matrix","https://reliefweb.int/jobs?search=Chief%20Information%20Officer%20South%20Africa"
