id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
search-000001,Live Search,live_search,Enterprise Architect,LinkedIn,LinkedIn,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,LinkedIn,B,Recognized job platform,Platform,67,Medium,,https://www.linkedin.com/jobs/search/?keywords=Enterprise+Architect&location=Egypt&sortBy=DD,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000002,Live Search,live_search,Enterprise Architect,Indeed,Indeed,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Indeed,B,Recognized job platform,Platform,67,Medium,,https://eg.indeed.com/jobs?q=Enterprise+Architect&l=Egypt&sort=date,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000003,Live Search,live_search,Enterprise Architect,Glassdoor,Glassdoor,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Glassdoor,B,Recognized job platform,Platform,67,Medium,,https://www.google.com/search?q=site%3Aglassdoor.com%2FJob+%22Enterprise+Architect%22+%22Egypt%22+jobs,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000004,Live Search,live_search,Enterprise Architect,Jooble,Jooble,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Jooble,B,Direct organization or specialist source,Direct,67,Medium,,https://www.google.com/search?q=site%3Ajooble.org+%22Enterprise+Architect%22+%22Egypt%22+jobs,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000005,Live Search,live_search,Enterprise Architect,Careerjet,Careerjet,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Careerjet,C,Aggregator,Aggregator,67,Medium,,https://www.careerjet.com/search/jobs?s=Enterprise+Architect&l=Egypt,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000006,Live Search,live_search,Enterprise Architect,Talent.com,Talent.com,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Talent.com,C,Aggregator,Aggregator,67,Medium,,https://www.talent.com/jobs?k=Enterprise+Architect&l=Egypt,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000007,Live Search,live_search,Enterprise Architect,Adzuna,Adzuna,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Adzuna,C,Aggregator,Aggregator,67,Medium,,https://www.adzuna.com/search?q=Enterprise+Architect&loc=Egypt,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000008,Live Search,live_search,Enterprise Architect,Jobrapido,Jobrapido,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Jobrapido,B,Direct organization or specialist source,Direct,69,Medium,,https://www.google.com/search?q=site%3Ajobrapido.com+%22Enterprise+Architect%22+%22Egypt%22+jobs,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000009,Live Search,live_search,Enterprise Architect,Jobsora,Jobsora,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Jobsora,B,Direct organization or specialist source,Direct,67,Medium,,https://www.google.com/search?q=site%3Ajobsora.com+%22Enterprise+Architect%22+%22Egypt%22+jobs,"Platform-indexed search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000010,Live Search,live_search,Enterprise Architect,Google Jobs,Google Jobs,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Google Jobs,B,Direct organization or specialist source,Direct,67,Medium,,https://www.google.com/search?q=Enterprise+Architect+jobs+Egypt,"Google job search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
search-000011,Live Search,live_search,Enterprise Architect,Bayt,Bayt,Enterprise Architecture,Enterprise Architecture,,Egypt,Egypt,Egypt,Live Search,,,2026-07-20,Live search,Bayt,B,Recognized job platform,Platform,67,Medium,,https://www.bayt.com/en/egypt/jobs/enterprise-architect-jobs/,"Direct platform search for Enterprise Architect in Egypt. Sort by newest on the platform and verify employer, date, location eligibility and application route."
