id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
source-00001,Source Directory,source,LinkedIn Egypt digital transformation jobs,Recent Egypt roles,Recent Egypt roles,Job Source,Job Source,,Egypt,Egypt,,Active Source,,,2026-07-20,,,B,Recognized job platform,Platform,56,Low,,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,Used to identify recently listed Egypt roles and job families.
source-00002,Source Directory,source,LinkedIn Saudi digital transformation advisor jobs,Recent Saudi roles,Recent Saudi roles,Job Source,Job Source,,GCC,Saudi Arabia,,Active Source,,,2026-07-20,,,B,Recognized job platform,Platform,63,Medium,,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,Used to identify recent architecture and transformation roles.
source-00003,Source Directory,source,LinkedIn Kenya IT director jobs,Recent Kenya roles,Recent Kenya roles,Job Source,Job Source,,Africa,Kenya,,Active Source,,,2026-07-20,,,B,Recognized job platform,Platform,68,Medium,,https://ke.linkedin.com/jobs/it-director-jobs,Used to identify current technology leadership and digital health roles.
source-00004,Source Directory,source,Canonical Careers,Remote worldwide roles,Remote worldwide roles,Official Employer Source,Official Employer Source,,Remote / Global,Worldwide,,Active Source,,,2026-07-20,,,A,Official / primary source,Official,52,Low,,https://canonical.com/careers/all,Official current remote roles.
source-00005,Source Directory,source,GitLab Jobs,Remote solutions architecture roles,Remote solutions architecture roles,Official Employer Source,Official Employer Source,,Remote / Global,Worldwide,,Active Source,,,2026-07-20,,,B,Direct organization or specialist source,Direct,59,Low,,https://about.gitlab.com/jobs/all-jobs/,Official remote job listing.
source-00006,Source Directory,source,UNGM,UN tenders and consulting opportunities,UN tenders and consulting opportunities,Project Source,Project Source,,Global,Multiple,,Active Source,,,2026-07-20,,,A,Official / primary source,Official,53,Low,,https://www.ungm.org/Public/Notice,Official UN procurement platform.
source-00007,Source Directory,source,World Bank RFx Now,World Bank consulting opportunities,World Bank consulting opportunities,Project Source,Project Source,,Global,Multiple,,Active Source,,,2026-07-20,,,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,World Bank Group operational consulting opportunities.
source-00008,Source Directory,source,African Development Bank Consultants,Consultant opportunities,Consultant opportunities,Project Source,Project Source,,Africa,Africa,,Active Source,,,2026-07-20,,,A,Official / primary source,Official,50,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Official AfDB consultant vacancy page.
source-00009,Source Directory,source,Indeed,Global job search platform,Global job search platform,Official platform source,Official platform source,,Remote / Global,60+ countries,,Active Source,,,2026-07-20,,Official platform,B,Recognized job platform,Platform,52,Low,,https://www.indeed.com/,Indeed describes itself as the world’s #1 job site and operates in over 60 countries.
source-00010,Source Directory,source,Glassdoor,"Jobs, reviews and salary research","Jobs, reviews and salary research",Official platform source,Official platform source,,Remote / Global,Global,,Active Source,,,2026-07-20,,Official platform,B,Recognized job platform,Platform,52,Low,,https://www.glassdoor.com/,Glassdoor provides millions of jobs plus company reviews and salary information.
